"variant_query_id"	"source_query_id"	"ratio"	"variant_index"	"query"	"changed_terms"	"actual_change_ratio"
"5ae5669755429960a22e02ec::syn060::v1"	"5ae5669755429960a22e02ec"	"0.60"	"1"	"Which of the drive that brought out the term Vichy Republican on social outlets was formally started on June 16, 2015, at Trump Tower in New York City?"	"campaign->drive;media->outlets;launched->started"	"0.6000"
"5a811667554299260e20a23d::syn060::v1"	"5a811667554299260e20a23d"	"0.60"	"1"	"What vocations do both Ian Hunter and Rob Thomas have?"	"occupations->vocations"	"1.0000"
"5abdf8c45542993f32c2a072::syn060::v1"	"5abdf8c45542993f32c2a072"	"0.60"	"1"	"The Death of Cook depicts the demise of James Cook at a cove on what coast?"	"death->demise;bay->cove"	"0.5000"
"5adbd70c55429947ff173843::syn060::v1"	"5adbd70c55429947ff173843"	"0.60"	"1"	"What is the heading of the autobiography written by the honoree of the Black and White Ball?"	"title->heading;memoir->autobiography"	"0.5000"
"5ae0ae4555429945ae959419::syn060::v1"	"5ae0ae4555429945ae959419"	"0.60"	"1"	"Jal Pari, which translated in another language refers to which legendary creature which are sometimes associated with perilous events such as floods, storm,s shipwrecks, and drownings?"	""	"0.0000"
"5a89f68f5542992e4fca84b6::syn060::v1"	"5a89f68f5542992e4fca84b6"	"0.60"	"1"	"What kind of person of authority does Governor of Sheerness and Stapleton Cotton, 1st Viscount Combermere have in common?"	""	"0.0000"
"5aba67c255429955dce3ee10::syn060::v1"	"5aba67c255429955dce3ee10"	"0.60"	"1"	"Both The Badgeman and +44 were bands concieved in which country?"	""	"0.0000"
"5ab4f7fc5542991779162d43::syn060::v1"	"5ab4f7fc5542991779162d43"	"0.60"	"1"	"Kete Krachi is a town in what region?"	""	"0.0000"
"5ac3c08a5542995ef918c217::syn060::v1"	"5ac3c08a5542995ef918c217"	"0.60"	"1"	"who features in the series  which McClure hosts"	""	"0.0000"
"5ac4e593554299076e296e37::syn060::v1"	"5ac4e593554299076e296e37"	"0.60"	"1"	"OU812 was the second album to feature a vocalist that also played what instrument in ""Finish What Ya Started""?"	""	"0.0000"
"5a7f90a15542995d8a8ddea5::syn060::v1"	"5a7f90a15542995d8a8ddea5"	"0.60"	"1"	"What Future Publishing founder co-hosted the yearly TED Conference with June Cohen?"	"annual->yearly"	"1.0000"
"5ae0bc185542993d6555ec29::syn060::v1"	"5ae0bc185542993d6555ec29"	"0.60"	"1"	"Penny Rae Bridges starred in a television sitcom with what other cast member?"	"actor->cast member"	"0.5000"
"5ae377c45542990afbd1e16b::syn060::v1"	"5ae377c45542990afbd1e16b"	"0.60"	"1"	"The last film that Kim Hyun-seok wrote was in 2015, what day was it issued?"	"released->issued"	"0.5000"
"5abd552555429933744ab776::syn060::v1"	"5abd552555429933744ab776"	"0.60"	"1"	"Where will the 2017 Atlantic 10 Men' s Basketball Tournament be organized?"	"hosted->organized"	"1.0000"
"5a8ba59a554299240d9c2058::syn060::v1"	"5a8ba59a554299240d9c2058"	"0.60"	"1"	"The Duke Steps Out stars an performer who was ranked tenth on a list of greatest female Hollywood stars in what year?"	"actress->performer"	"1.0000"
"5ae7922f5542994a481bbdac::syn060::v1"	"5ae7922f5542994a481bbdac"	"0.60"	"1"	"Where was the college at which Barrie Ciliberti was a professor located?"	"university->college"	"0.5000"
"5ae6fee3554299572ea54670::syn060::v1"	"5ae6fee3554299572ea54670"	"0.60"	"1"	"The player who beat Johnny Majors for the Heisman Trophy in 1956 was born in what year?"	"defeated->beat"	"1.0000"
"5ade043d5542997dc7907122::syn060::v1"	"5ade043d5542997dc7907122"	"0.60"	"1"	"Which scholar at the University of Alabama in Huntsville co-developed a satellite temperature record with John Christy?"	"scientist->scholar"	"1.0000"
"5ae614215542992663a4f254::syn060::v1"	"5ae614215542992663a4f254"	"0.60"	"1"	"Name an American female actor who starred both in High School High and General Hospital."	"actress->female actor"	"0.5000"
"5abd72475542993062266c9a::syn060::v1"	"5abd72475542993062266c9a"	"0.60"	"1"	"Are After Midnight Project and Aaroh both rock bands?"	""	"0.0000"
"5a7c2f145542996dd594b8b4::syn060::v1"	"5a7c2f145542996dd594b8b4"	"0.60"	"1"	"The female actor who made her film debut in Friday Night Lights also starred in a 2014 French-American crime-thriller directed by whi?"	"actress->female actor"	"0.5000"
"5a7ec6f355429934daa2fc61::syn060::v1"	"5a7ec6f355429934daa2fc61"	"0.60"	"1"	"Which magazine is based out of more countries, Adventist World or Baseball Digest?"	""	"0.0000"
"5ae0ec48554299422ee9955a::syn060::v1"	"5ae0ec48554299422ee9955a"	"0.60"	"1"	"How was Ada Lovelace, the first computer programmer, related to Lord Byron in Childe Byron?"	""	"0.0000"
"5a7bbc59554299294a54aaa9::syn060::v1"	"5a7bbc59554299294a54aaa9"	"0.60"	"1"	"Steve Denton and Albert Costa are both tennis players, which one began playing at the age if five?"	""	"0.0000"
"5a80071f5542992bc0c4a684::syn060::v1"	"5a80071f5542992bc0c4a684"	"0.60"	"1"	"Alice David is the voice of Lara Croft in a video game developed by which company ?"	""	"0.0000"
"5a886c0c55429938390d3f51::syn060::v1"	"5a886c0c55429938390d3f51"	"0.60"	"1"	"Who owns the broadcasting platform where Games Done Quick is broadcast?"	""	"0.0000"
"5a7e0c045542995f4f4023c5::syn060::v1"	"5a7e0c045542995f4f4023c5"	"0.60"	"1"	"Who was born first Doug Liman or Saul Metzstein?"	""	"0.0000"
"5a77f2af5542995d83181333::syn060::v1"	"5a77f2af5542995d83181333"	"0.60"	"1"	"Who was born first, Grigory Margulis or Leonid Levin?"	""	"0.0000"
"5a72f74a55429901807daf59::syn060::v1"	"5a72f74a55429901807daf59"	"0.60"	"1"	"Which American comedian born on March 21, 1962, appeared in the movie ""Sleepless in Seattle?"""	""	"0.0000"
"5aba749055429901930fa7d8::syn060::v1"	"5aba749055429901930fa7d8"	"0.60"	"1"	"What occupation do Chris Menges and Aram Avakian share?"	""	"0.0000"
"5abfd3d65542994516f4550b::syn060::v1"	"5abfd3d65542994516f4550b"	"0.60"	"1"	"Are both Don Giovanni and Cardillac operas with three acts?"	""	"0.0000"
"5ae4d3a55542990ba0bbb164::syn060::v1"	"5ae4d3a55542990ba0bbb164"	"0.60"	"1"	"What creature of American folklore gained notoriety in 1964?"	""	"0.0000"
"5a738fe855429908901be2fb::syn060::v1"	"5a738fe855429908901be2fb"	"0.60"	"1"	"What film was composed and directed by Joby Harold with music written by Samuel Sim?"	"written->composed"	"0.5000"
"5ae13f3c5542997b2ef7d168::syn060::v1"	"5ae13f3c5542997b2ef7d168"	"0.60"	"1"	"Arthur Noss was a gunner for the commader during which two European theatre battles in WWII?"	""	"0.0000"
"5a7a5cc35542996c55b2dd7c::syn060::v1"	"5a7a5cc35542996c55b2dd7c"	"0.60"	"1"	"What position did Christian Albrecht Bluhme during the second military conflict as a result of the Schleswig-Holstein Question?"	""	"0.0000"
"5abae1055542996cc5e49ec9::syn060::v1"	"5abae1055542996cc5e49ec9"	"0.60"	"1"	"Which genus has more species, Mahonia or Diplazium?"	""	"0.0000"
"5a8b57f25542995d1e6f1371::syn060::v1"	"5a8b57f25542995d1e6f1371"	"0.60"	"1"	"Were Scott Derrickson and Ed Wood of the same nationality?"	""	"0.0000"
"5a7622d75542994ccc9186f1::syn060::v1"	"5a7622d75542994ccc9186f1"	"0.60"	"1"	"Who was born earlier, Garry Marshall or Leni Riefenstahl?"	""	"0.0000"
