query_id	doc_id	relevance
vimqa_train_000000	vimqa_ctx_56005ae161eac1e9	1
vimqa_train_000001	vimqa_ctx_5ec50b93d1c4d502	1
vimqa_train_000002	vimqa_ctx_df1c603c851566c8	1
vimqa_train_000003	vimqa_ctx_0fe7ea9cbb6b1144	1
vimqa_train_000004	vimqa_ctx_da81df117eed70a2	1
vimqa_train_000005	vimqa_ctx_60e5ef6113a1509f	1
vimqa_train_000006	vimqa_ctx_b1c1f632e0ec36d0	1
vimqa_train_000007	vimqa_ctx_35b4a84a5ec32e44	1
vimqa_train_000008	vimqa_ctx_a00115f74e699221	1
vimqa_train_000009	vimqa_ctx_2aa0375e000d715b	1
vimqa_train_000010	vimqa_ctx_27910f19ad7129b9	1
vimqa_train_000011	vimqa_ctx_6f3d717709d9f836	1
vimqa_train_000012	vimqa_ctx_b6c169fd43195274	1
vimqa_train_000013	vimqa_ctx_cb771c375eb705be	1
vimqa_train_000014	vimqa_ctx_f79876831e48f849	1
vimqa_train_000015	vimqa_ctx_3716264c5dcb6df5	1
vimqa_train_000016	vimqa_ctx_22a1a2a31cff5750	1
vimqa_train_000017	vimqa_ctx_e87f537dff91fdd4	1
vimqa_train_000018	vimqa_ctx_2073a3344b4b479d	1
vimqa_train_000019	vimqa_ctx_587f048ea2995981	1
vimqa_train_000020	vimqa_ctx_7786e79b5a2b3a06	1
vimqa_train_000021	vimqa_ctx_9ee5e5274131cd15	1
vimqa_train_000022	vimqa_ctx_71a3f70129276369	1
vimqa_train_000023	vimqa_ctx_b6b0721aed925906	1
vimqa_train_000024	vimqa_ctx_ba05c3df4221341e	1
vimqa_train_000025	vimqa_ctx_da6b6220997365b7	1
vimqa_train_000026	vimqa_ctx_a6fab6a8076f06f2	1
vimqa_train_000027	vimqa_ctx_a0d5ed47d6945506	1
vimqa_train_000028	vimqa_ctx_16a334edc3fab7ef	1
vimqa_train_000029	vimqa_ctx_67c2d31b412f29f7	1
vimqa_train_000030	vimqa_ctx_25563bfb38a36503	1
vimqa_train_000031	vimqa_ctx_d702d74ff9c04c1e	1
vimqa_train_000032	vimqa_ctx_1e53a7c78fd87fca	1
vimqa_train_000033	vimqa_ctx_691dc533619c5b3c	1
vimqa_train_000034	vimqa_ctx_4f9f756499d4b02f	1
vimqa_train_000035	vimqa_ctx_ce70d8fc66dfcfce	1
vimqa_train_000036	vimqa_ctx_6b8937755404352c	1
vimqa_train_000037	vimqa_ctx_f61b24ab234cdd9b	1
vimqa_train_000038	vimqa_ctx_c6704816a1c9d3be	1
vimqa_train_000039	vimqa_ctx_9aee23f150eda581	1
vimqa_train_000040	vimqa_ctx_710b9194aca2d2e3	1
vimqa_train_000041	vimqa_ctx_d81087c315412297	1
vimqa_train_000042	vimqa_ctx_c3512d0901f2d3cd	1
vimqa_train_000043	vimqa_ctx_b4fea36b3f7ed268	1
vimqa_train_000044	vimqa_ctx_de0dd8aa16555f1e	1
vimqa_train_000045	vimqa_ctx_6e84aab946ba1a8e	1
vimqa_train_000046	vimqa_ctx_6e087b4a5372e2c2	1
vimqa_train_000047	vimqa_ctx_286e1aa736321c16	1
vimqa_train_000048	vimqa_ctx_754c45fc9c792650	1
vimqa_train_000049	vimqa_ctx_acc045690dc798e6	1
vimqa_train_000050	vimqa_ctx_32befaa388678d60	1
vimqa_train_000051	vimqa_ctx_079851b10fb7f73b	1
vimqa_train_000052	vimqa_ctx_229f72e683898d46	1
vimqa_train_000053	vimqa_ctx_0a2bc32cbea78731	1
vimqa_train_000054	vimqa_ctx_b24f65b53ea48baa	1
vimqa_train_000055	vimqa_ctx_87e00b60a7e017d7	1
vimqa_train_000056	vimqa_ctx_29ffce518b59f2d2	1
vimqa_train_000057	vimqa_ctx_f30312c0f864e8e1	1
vimqa_train_000058	vimqa_ctx_61ed5bae221b4e7f	1
vimqa_train_000059	vimqa_ctx_5a464c9013ada38f	1
vimqa_train_000060	vimqa_ctx_a52ae8dffb5c33cf	1
vimqa_train_000061	vimqa_ctx_b199f9deae3edb93	1
vimqa_train_000062	vimqa_ctx_b5fe5dc7ec82d1b0	1
vimqa_train_000063	vimqa_ctx_c36f8c9c398dd88a	1
vimqa_train_000064	vimqa_ctx_b9ede99c52bb08a5	1
vimqa_train_000065	vimqa_ctx_1164f65068aaa290	1
vimqa_train_000066	vimqa_ctx_17ac6268ebdbe332	1
vimqa_train_000067	vimqa_ctx_0aa0b497679e2ef7	1
vimqa_train_000068	vimqa_ctx_f1dd364c6f20131f	1
vimqa_train_000069	vimqa_ctx_03234f1035a0f498	1
vimqa_train_000070	vimqa_ctx_3432a695d166a016	1
