query_id	source_query_id	query	split	answer
vimqa_train_000000	vimqa_train_000000	Film điện ảnh mà Margalit Ruth "Maggie" Gyllenhaal nhận được vai phụ độc lập vào năm 2001 có kinh phí là 4,5 triệu USD phải không?	train	đúng
vimqa_train_000001	vimqa_train_000001	Giải thưởng mà Mario J. Molina nhận năm 1995 được trao bởi Viện phim Mỹ phải không?	train	không
vimqa_train_000002	vimqa_train_000002	Bảng xếp hạng mà phiên bản "I Will Always Love You" của Parton đạt vị trí số một liệt kê danh sách 60 ca khúc phải không?	train	đúng
vimqa_train_000003	vimqa_train_000003	Đất nước của Kailash Satyarthi tiếp giáp với biển Ả Rập ở phía Tây – Nam phải không?	train	đúng
vimqa_train_000004	vimqa_train_000004	Quốc gia có tỉnh Kon Tum có tên gọi chính thức là Cộng hòa Xã hội chủ nghĩa Việt Nam phải không?	train	đúng
vimqa_train_000005	vimqa_train_000005	Đại học mà Charles Townes từng sử dụng các que hồng ngọc để tạo laser đỏ được thành lập năm 1754 phải không?	train	đúng
vimqa_train_000006	vimqa_train_000006	Châu lục có đất nước mà Albert Schweitzer đã có khoảng 50 năm chữa bệnh cho người dân đứng thứ hai trên thế giới về dân số phải không?	train	đúng
vimqa_train_000007	vimqa_train_000007	Giải bóng đá UEFA Cup Winners' Cup mà Manchester City F.C. đã 1 lần đoạt cúp tổ chức từ năm 1960 phải không?	train	đúng
vimqa_train_000008	vimqa_train_000008	Bộ phim giúp Robert Zemeckis giành giải Oscar cho đạo diễn xuất sắc nhất nói về cuộc đời của một người có chỉ số IQ là 75 phải không?	train	đúng
vimqa_train_000009	vimqa_train_000009	Quốc gia có câu lạc bộ Real Madrid C.F. có tên gọi chính thức là Vương quốc Tây Ban Nha phải không?	train	đúng
vimqa_train_000010	vimqa_train_000010	Quê hương của trọng tài quốc tế Stanley Rous có biên giới trên bộ với các nước Scotland về phía bắc và Wales về phía tây phải không?	train	đúng
vimqa_train_000011	vimqa_train_000011	Giải bóng đá Sylvain Wiltord giành được hai danh hiệu là hạng đấu cao thứ nhất của hệ thống các giải bóng đá ở Anh phải không?	train	đúng
vimqa_train_000012	vimqa_train_000012	Thủ đô của đất nước của Giacinto Facchetti không phải Roma?	train	không
vimqa_train_000013	vimqa_train_000013	Đại học Steven Chu từng là giáo sư vật lý và sinh học phân tử và tế bào là viện đại học thứ đầu tiên của hệ thống Viện Đại học California phải không?	train	đúng
vimqa_train_000014	vimqa_train_000014	Ca khúc Blowin' in the Wind trở thành thánh ca cho phong trào dân quyền được phát hành năm 1900 phải không?	train	không
vimqa_train_000015	vimqa_train_000015	David Crosby nhỏ tuổi hơn Fernando Luiz Roza phải không?	train	không
vimqa_train_000016	vimqa_train_000016	Giải đấu Giải bóng đá Ngoại hạng Anh mà Alex Oxlade-Chamberlain từng thi đấu có tên gọi EPL phải không?	train	đúng
vimqa_train_000017	vimqa_train_000017	Thành phố có Fulham F.C. là câu lạc bộ bóng đá chuyên nghiệp lâu đời nhất được người La Mã lập ra 2000 năm trước đây phải không?	train	đúng
vimqa_train_000018	vimqa_train_000018	Câu lạc bộ có sân nhà mới là Arena AufSchalke có trụ sở ở Luân Đôn phải không?	train	không
vimqa_train_000019	vimqa_train_000019	Đội bóng Teddy Sheringham từng làm đội trưởng có biểu tượng hình chú gà trống đứng trên hình quả bóng phải không?	train	đúng
vimqa_train_000020	vimqa_train_000020	Người mà Eugene Wigner có thể sánh ngang cùng được trao Giải Nobel Vật lý năm 1810 phải không?	train	không
vimqa_train_000021	vimqa_train_000021	Nhóm nhạc mà David Gilmour là người hát chính đã bán được 200 triệu album trên toàn thế giới phải không?	train	đúng
vimqa_train_000022	vimqa_train_000022	Tổ chức bầu chọn Lauren Bacall là một trong 25 nữ nghệ sĩ xuất sắc nhất trong lịch sử điện ảnh Mỹ được sáng lập năm 1967 phải không?	train	đúng
vimqa_train_000023	vimqa_train_000023	Quốc gia của Andrew Jackson có tên đầy đủ là Hợp chúng quốc Hoa Kỳ phải không?	train	đúng
vimqa_train_000024	vimqa_train_000024	Nhà văn đề xuất khẩu hiệu cho F.K. Dinamo Moskva được xem là nhà văn kiệt xuất của nền văn học nước Nga vào thế kỷ 20 phải không?	train	đúng
vimqa_train_000025	vimqa_train_000025	Vai diễn Barney Stinson của Neil Patrick Harris được sáng tạo bởi Carter Bays và Craig Thomas phải không?	train	đúng
vimqa_train_000026	vimqa_train_000026	Chức vụ Georges Pompidou giữ từ năm 1969 là nguyên thủ quốc gia của nước Cộng hoà Dân chủ Nhân dân Lào phải không?	train	không
vimqa_train_000027	vimqa_train_000027	Thành phố nơi thành lập của Nine Inch Nails nằm ven biển hồ Erie phải không?	train	đúng
vimqa_train_000028	vimqa_train_000028	Kịch bản When Harry Met Sally... giành giải BAFTA là một bộ phim hài kịch lãng mạn của Hoa Kỳ năm 1989 phải không?	train	đúng
vimqa_train_000029	vimqa_train_000029	Album có bài hát "Nothing Really Matters" được phát hành bởi Maverick và Warner Bros phải không?	train	đúng
vimqa_train_000030	vimqa_train_000030	Người đề cử Malala Yousafzai cho giải thưởng hòa bình trẻ em quốc tế sinh năm 1931 phải không?	train	đúng
vimqa_train_000031	vimqa_train_000031	Thành viên Maurice Gibb của nhóm Bee Gees sinh năm 1993 phải không?	train	không
vimqa_train_000032	vimqa_train_000032	Đội bóng mà Giuseppe Bergomi dành cả sự nghiệp thi đấu sở hữu 3 Cúp UEFA/Europa League phải không?	train	đúng
vimqa_train_000033	vimqa_train_000033	Đất nước của Visual Art's nằm trên biển Thái Bình Dương phải không?	train	đúng
vimqa_train_000034	vimqa_train_000034	Quốc gia có Bảng xếp hạng nhạc số Gaon nằm ở nửa phía Nam của bán đảo Triều Tiên phải không?	train	đúng
vimqa_train_000035	vimqa_train_000035	Tổ chức đánh giá album Beautiful Trauma là bán chạy thứ ba toàn cầu vào năm 2017 có trụ sở đặt ở Luân Đôn phải không?	train	đúng
vimqa_train_000036	vimqa_train_000036	Đất nước William Henry Harrison làm sĩ quan quân đội có thủ đô Hà Nội phải không?	train	không
vimqa_train_000037	vimqa_train_000037	Quê hương của Shimotsuki Haruka giáp với bán đảo Triều Tiên về phía tây phải không?	train	đúng
vimqa_train_000038	vimqa_train_000038	Người cùng giám đốc Viện Sinh học Nhiễm trùng Max Planck nhận giải Nobel Hóa học là người nước Anh phải không?	train	không
vimqa_train_000039	vimqa_train_000039	Trường mà Finn E. Kydland làm giáo sư kinh tế có khu trường sở chính tọa lạc trên khu vực rộng 1.022 mẫu Anh phải không?	train	đúng
vimqa_train_000040	vimqa_train_000040	Quốc gia có cố đô là Sankt-Peterburg tồn tại từ năm năm 1721 đến năm 1917 phải không?	train	đúng
vimqa_train_000041	vimqa_train_000041	Đại học mà Paul Dirac từng giữ chức Giáo sư Lucas về Toán học được thành lập vào năm 1209 phải không?	train	đúng
vimqa_train_000042	vimqa_train_000042	Thành viên Ozzy Osbourne của ban nhạc Black Sabbath sinh ngày 3 tháng 12 năm 1948 phải không?	train	đúng
vimqa_train_000043	vimqa_train_000043	Câu lạc bộ mà Nathan Dyer cùng vô địch ngoại hạng Anh mùa giải 2015-2016 có biệt danh The Foxes (bầy cáo) phải không?	train	đúng
vimqa_train_000044	vimqa_train_000044	Nhà vật lý Pakistan Abdus Salam được trao Giải Nobel Vật lý cùng Kathryn Bigelow phải không?	train	không
vimqa_train_000045	vimqa_train_000045	Hãng thu âm phát hành bài hát I Knew You Were Trouble có trụ sở đặt tại Nashville, Tinnessee phải không?	train	đúng
vimqa_train_000046	vimqa_train_000046	Bộ phim Transformers: Bại binh phục hận của Michael Bay được công chiếu vào mùa hè năm 2009 phải không?	train	đúng
vimqa_train_000047	vimqa_train_000047	Tác phẩm mà Daniel Kaluuya tham gia với vai Chris Washington được đạo diễn bởi Jordan Peele phải không?	train	đúng
vimqa_train_000048	vimqa_train_000048	Đất nước của Andriy Mykolayovych Shevchenko thuộc khu vực Đông Âu phải không?	train	đúng
vimqa_train_000049	vimqa_train_000049	Duncan Haldanecùng với David J. Thouless được trao giải Nobel Vật lý là một nhà vật lý người Scotland-Slovenia phải không?	train	đúng
vimqa_train_000050	vimqa_train_000050	Nghệ sĩ mà Lady Gaga hợp tác trong album nhạc Jazz mang tên Cheek to Cheek là người nước Mỹ phải không?	train	đúng
vimqa_train_000051	vimqa_train_000051	Đội bóng Glen Johnson bắt đầu sự nghiệp đã 3 lần đoạt Cúp FA phải không?	train	đúng
vimqa_train_000052	vimqa_train_000052	Cầu thủ người Anh đạt danh hiệu Chiếc Giày Vàng dành cho Vua Phá Lưới trước Harry Kane sinh năm 1960 phải không?	train	đúng
vimqa_train_000053	vimqa_train_000053	Quê hương của câu lạc bộ PSV Eindhoven có biên giới hàng hải với nước Bỉ, Anh và Đức phải không?	train	đúng
vimqa_train_000054	vimqa_train_000054	Quê hương của Katharine Hepburn giáp nước Canada ở phía bắc phải không?	train	đúng
vimqa_train_000055	vimqa_train_000055	Người mà Douglass North cùng được trao giải Nobel Kinh tế năm 1993 là người nước Hoa Kỳ phải không?	train	đúng
vimqa_train_000056	vimqa_train_000056	Tác phẩm Chương trình Truman mang về cho Jim Carrey giải Quả cầu vàng là của đạo diễn Peter Weir phải không?	train	đúng
vimqa_train_000057	vimqa_train_000057	Joseph Louis Gay-Lussac lớn tuổi hơn Jens Lehmann phải không?	train	đúng
vimqa_train_000058	vimqa_train_000058	Nhóm nhạc The Rolling Stones từng đứng chung sân khấu với Gary Clark Jr. thành lập ở Luân Đôn năm 1962 phải không?	train	đúng
vimqa_train_000059	vimqa_train_000059	Quê hương của Tomas Lindahl nối với Đan Mạch bằng cây cầu Öresund phải không?	train	đúng
vimqa_train_000060	vimqa_train_000060	Tác giả bài hát "Bad Romance" lớn lên ở thành phố New York phải không?	train	đúng
vimqa_train_000061	vimqa_train_000061	Trường mà Elizabeth Blackburn làm việc là thành viên của hệ thống Viện Trường California phải không?	train	đúng
vimqa_train_000062	vimqa_train_000062	Ca sĩ chơi lap steel guitar cho ca khúc "For You Blue" mất năm 1980 phải không?	train	đúng
vimqa_train_000063	vimqa_train_000063	Chồng của nghệ sĩ Carole Lombard được biết đến nhiều qua vai diễn Rhett Butle phải không?	train	đúng
vimqa_train_000064	vimqa_train_000064	Đất nước có Học viện Karolinska nằm ở Bắc Âu phải không?	train	đúng
vimqa_train_000065	vimqa_train_000065	Quốc gia của Kagawa Shinji có tên đầy đủ là Nhật Bản Quốc phải không?	train	đúng
vimqa_train_000066	vimqa_train_000066	Tác phẩm How to Get Away with Murder của Alfred Enoch được phát sóng mở màn năm 2014 phải không?	train	đúng
